,plant_id,plant,op,op_id,plant_state,region,rpm,fuel_type,fuel_usage,net_gen
3152,6019,W H Zimmer,Dynegy W H Zimmer,59920,OH,ENC,ST,DFO,0.0,0.0
3153,6019,W H Zimmer,Dynegy W H Zimmer,59920,OH,ENC,ST,NG,368714.472,137476.32
3154,6019,W H Zimmer,Dynegy W H Zimmer,59920,OH,ENC,ST,RC,15208591.137,5435412.7
3155,6020,Perry,Energy Harbor Nuclear Generation LLC,64225,OH,ENC,ST,NUC,33647885.212,10990962.0
3156,6021,Craig (CO),"Tri-State G & T Assn, Inc",30151,CO,MTN,ST,DFO,1759.306,576.378
3157,6021,Craig (CO),"Tri-State G & T Assn, Inc",30151,CO,MTN,ST,NG,83224.857,27024.888
3158,6021,Craig (CO),"Tri-State G & T Assn, Inc",30151,CO,MTN,ST,SUB,21343696.666,6951719.7
3159,6022,Braidwood Generation Station,Exelon Nuclear,55951,IL,ENC,ST,NUC,29901510.245,9767222.0
3160,6022,Braidwood Generation Station,Exelon Nuclear,55951,IL,ENC,ST,NUC,32464624.834,10604454.0
3161,6023,Byron Generating Station,Exelon Nuclear,55951,IL,ENC,ST,NUC,29607422.218,9671159.0
3162,6023,Byron Generating Station,Exelon Nuclear,55951,IL,ENC,ST,NUC,30166362.381,9853735.0
3163,6026,LaSalle Generating Station,Exelon Nuclear,55951,IL,ENC,ST,NUC,31103348.692,10159798.0
3164,6026,LaSalle Generating Station,Exelon Nuclear,55951,IL,ENC,ST,NUC,29193295.212,9535886.0
3165,6030,Coal Creek,Great River Energy,7570,ND,WNC,IC,DFO,0.0,0.0
3166,6030,Coal Creek,Great River Energy,7570,ND,WNC,ST,DFO,13504.129,4640.731
3167,6030,Coal Creek,Great River Energy,7570,ND,WNC,ST,LIG,0.0,0.0
3168,6030,Coal Creek,Great River Energy,7570,ND,WNC,ST,RC,23894240.558,8213150.3
3169,6034,Belle River,DTE Electric Company,5109,MI,ENC,GT,NG,1385736.147,367223.0
3170,6034,Belle River,DTE Electric Company,5109,MI,ENC,IC,DFO,1295.081,42.0
3171,6034,Belle River,DTE Electric Company,5109,MI,ENC,ST,DFO,68559.581,16657.357
3172,6034,Belle River,DTE Electric Company,5109,MI,ENC,ST,RC,13320889.895,4211527.6
3173,6034,Belle River,DTE Electric Company,5109,MI,ENC,ST,SUB,0.0,0.0
3174,6035,Greenwood (MI),DTE Electric Company,5109,MI,ENC,GT,NG,363723.765,107127.08
3175,6035,Greenwood (MI),DTE Electric Company,5109,MI,ENC,ST,DFO,678.753,219.68
3176,6035,Greenwood (MI),DTE Electric Company,5109,MI,ENC,ST,NG,2630622.045,846787.17
3177,6035,Greenwood (MI),DTE Electric Company,5109,MI,ENC,ST,RFO,150.052,47.148
3178,6035,Greenwood (MI),DTE Electric Company,5109,MI,ENC,ST,WO,0.0,0.0
3179,6036,Catawba,"Duke Energy Carolinas, LLC",5416,SC,SAT,ST,NUC,30985033.849,10121151.0
3180,6036,Catawba,"Duke Energy Carolinas, LLC",5416,SC,SAT,ST,NUC,28273747.216,9235519.0
3181,6038,McGuire,"Duke Energy Carolinas, LLC",5416,NC,SAT,ST,NUC,29428856.067,9612831.0
3182,6038,McGuire,"Duke Energy Carolinas, LLC",5416,NC,SAT,ST,NUC,28881740.735,9434118.0
3183,6040,Beaver Valley,Energy Harbor Nuclear Generation LLC,64225,PA,MAT,ST,NUC,22488112.526,7345662.0
3184,6040,Beaver Valley,Energy Harbor Nuclear Generation LLC,64225,PA,MAT,ST,NUC,24637436.261,8047731.0
3185,6041,H L Spurlock,"East Kentucky Power Coop, Inc",5580,KY,ESC,ST,BIT,21116127.86,7219247.2
3186,6041,H L Spurlock,"East Kentucky Power Coop, Inc",5580,KY,ESC,ST,DFO,31905.475,10871.845
3187,6041,H L Spurlock,"East Kentucky Power Coop, Inc",5580,KY,ESC,ST,TDF,187943.84,64166.973
3188,6041,H L Spurlock,"East Kentucky Power Coop, Inc",5580,KY,ESC,ST,WC,0.0,0.0
3189,6041,H L Spurlock,"East Kentucky Power Coop, Inc",5580,KY,ESC,ST,WDS,0.0,0.0
3190,6042,Manatee,Florida Power & Light Co,6452,FL,SAT,CA,DFO,0.0,0.0
3191,6042,Manatee,Florida Power & Light Co,6452,FL,SAT,CA,NG,0.0,2190344.0
3192,6042,Manatee,Florida Power & Light Co,6452,FL,SAT,CT,DFO,0.0,0.0
3193,6042,Manatee,Florida Power & Light Co,6452,FL,SAT,CT,NG,14537373.396,4994412.0
3194,6042,Manatee,Florida Power & Light Co,6452,FL,SAT,ST,NG,8246953.094,2359384.2
3195,6042,Manatee,Florida Power & Light Co,6452,FL,SAT,ST,RFO,174467.26,50955.768
3196,6043,Martin,Florida Power & Light Co,6452,FL,SAT,CA,DFO,0.0,1841.047
3197,6043,Martin,Florida Power & Light Co,6452,FL,SAT,CA,NG,0.0,3986518.0
3198,6043,Martin,Florida Power & Light Co,6452,FL,SAT,CA,SUN,76398.06,29714.0
3199,6043,Martin,Florida Power & Light Co,6452,FL,SAT,CT,BIT,0.0,0.0
3200,6043,Martin,Florida Power & Light Co,6452,FL,SAT,CT,DFO,10647.565,3266.969
3201,6043,Martin,Florida Power & Light Co,6452,FL,SAT,CT,NG,23223251.412,7071376.0
3202,6043,Martin,Florida Power & Light Co,6452,FL,SAT,CT,RFO,0.0,0.0
3203,6045,St Lucie,Florida Power & Light Co,6452,FL,SAT,ST,NUC,24716408.95,8073527.0
3204,6045,St Lucie,Florida Power & Light Co,6452,FL,SAT,ST,NUC,26716479.502,8726843.0
3205,6046,DeBary,"Duke Energy Florida, LLC",6455,FL,SAT,GT,DFO,37164.929,9161.146
3206,6046,DeBary,"Duke Energy Florida, LLC",6455,FL,SAT,GT,NG,523182.268,128965.85
3207,6047,Deerfield 2,"Great River Hydro, LLC",61122,MA,NEW,HY,WAT,80478.488,31301.0
3208,6049,West Tisbury Generating Facility,"GenOn Canal, LLC",21461,MA,NEW,IC,DFO,3147.876,1049.0
3209,6051,Edwin I Hatch,Georgia Power Co,7140,GA,SAT,ST,NUC,23137157.096,7557670.0
3210,6051,Edwin I Hatch,Georgia Power Co,7140,GA,SAT,ST,NUC,19635290.736,6410209.0
3211,6052,Wansley,Georgia Power Co,7140,GA,SAT,GT,DFO,816.789,-317.0
3212,6052,Wansley,Georgia Power Co,7140,GA,SAT,ST,BIT,652240.217,179997.59
3213,6052,Wansley,Georgia Power Co,7140,GA,SAT,ST,DFO,15094.332,-35313.59
3214,6055,Big Cajun 2,Louisiana Generating LLC,11252,LA,WSC,ST,DFO,0.0,0.0
3215,6055,Big Cajun 2,Louisiana Generating LLC,11252,LA,WSC,ST,NG,3370481.72,990307.01
3216,6055,Big Cajun 2,Louisiana Generating LLC,11252,LA,WSC,ST,RC,1106624.638,292007.99
3217,6055,Big Cajun 2,Louisiana Generating LLC,11252,LA,WSC,ST,SUB,0.0,0.0
3218,6056,Kahului,Maui Electric Co Ltd,11843,HI,PACN,ST,DFO,0.0,0.0
3219,6056,Kahului,Maui Electric Co Ltd,11843,HI,PACN,ST,PG,0.0,0.0
3220,6056,Kahului,Maui Electric Co Ltd,11843,HI,PACN,ST,RFO,586314.466,131121.0
3221,6058,Cascade Creek,Rochester Public Utilities,16181,MN,WNC,GT,DFO,133.933,38.714
3222,6058,Cascade Creek,Rochester Public Utilities,16181,MN,WNC,GT,NG,50486.767,14580.286
3223,6060,Coachella,Imperial Irrigation District,9216,CA,PACC,GT,DFO,316.224,64.678
3224,6060,Coachella,Imperial Irrigation District,9216,CA,PACC,GT,NG,29306.814,5995.322
3225,6063,Electrifarm,MidAmerican Energy Co,12341,IA,WNC,GT,DFO,0.0,0.0
3226,6063,Electrifarm,MidAmerican Energy Co,12341,IA,WNC,GT,NG,16079.93,1298.0
3227,6064,Nearman Creek,City of Kansas City - (KS),9996,KS,WNC,GT,DFO,1846.055,281.692
3228,6064,Nearman Creek,City of Kansas City - (KS),9996,KS,WNC,GT,NG,21441.373,5265.308
3229,6064,Nearman Creek,City of Kansas City - (KS),9996,KS,WNC,ST,DFO,13372.54,3884.778
3230,6064,Nearman Creek,City of Kansas City - (KS),9996,KS,WNC,ST,SUB,3470767.123,1066366.2
3231,6065,Iatan,Evergy Metro,10000,MO,WNC,ST,DFO,118801.634,41483.179
3232,6065,Iatan,Evergy Metro,10000,MO,WNC,ST,SUB,19754029.653,6993094.8
3233,6068,Jeffrey Energy Center,"Evergy Kansas Central, Inc",22500,KS,WNC,ST,DFO,124399.584,34180.07
3234,6068,Jeffrey Energy Center,"Evergy Kansas Central, Inc",22500,KS,WNC,ST,SUB,23366067.875,6637980.9
3235,6071,Trimble County,Louisville Gas & Electric Co,11249,KY,ESC,GT,NG,1729869.283,552620.0
3236,6071,Trimble County,Louisville Gas & Electric Co,11249,KY,ESC,ST,BIT,336067.527,116311.15
3237,6071,Trimble County,Louisville Gas & Electric Co,11249,KY,ESC,ST,DFO,0.0,0.0
